time(sec),pressure-1(bar),pressure-2(bar),pressure-3(bar),flow_rate_1(LPM),flow_rate_2(LPM)
19.798,0.432,-1.709,0.958,304.715,1047.691
19.849,0.430,-1.894,2.570,303.853,1046.913
19.898,0.438,-1.706,0.367,304.060,1046.633
19.948,0.437,-1.713,3.079,304.844,1045.378
19.999,0.436,-1.835,2.042,304.066,1046.147
20.048,0.437,-1.640,1.940,304.745,1045.598
20.098,0.429,-1.676,2.793,304.561,1046.406
20.148,0.430,-1.681,2.606,304.511,1046.731
20.198,0.431,-1.800,2.514,304.520,1044.941
20.248,0.429,-1.606,1.572,304.415,1044.978
20.298,0.435,-1.673,2.718,304.295,1045.184
20.348,0.433,-1.689,2.084,304.763,1045.733
20.398,0.438,-1.658,2.291,304.050,1046.054
20.448,0.439,-1.784,2.435,304.543,1044.713
20.498,0.429,-1.688,2.701,304.565,1044.212
20.548,0.430,-1.681,1.782,304.240,1042.880
20.599,0.427,-1.761,2.465,304.032,1043.914
20.648,0.429,-1.673,2.002,304.186,1043.852
20.699,0.425,-1.736,2.912,304.712,1044.084
20.748,0.430,-1.715,3.217,304.688,1043.521
20.799,0.427,-1.768,2.806,304.315,1043.592
20.849,0.427,-1.733,2.229,304.245,1043.941
20.899,0.432,-1.912,2.426,304.153,1041.810
20.949,0.432,-1.922,2.596,304.769,1041.723
20.998,0.429,-1.805,1.936,304.127,1041.558
21.049,0.429,-1.838,2.537,304.095,1041.881
21.098,0.429,-1.718,2.376,304.641,1040.770
21.148,0.429,-1.763,2.564,304.071,1040.507
21.198,0.434,-1.836,1.838,304.899,1040.082
21.248,0.436,-1.831,2.472,304.853,1040.431
21.298,0.430,-1.759,2.498,304.273,1040.645
21.348,0.429,-1.768,2.353,304.688,1040.781
21.398,0.428,-1.825,2.738,304.408,1039.808
21.448,0.431,-1.772,2.682,304.239,1038.814
21.498,0.433,-1.799,2.590,304.849,1038.487
21.548,0.435,-1.783,2.367,304.054,1038.584
21.598,0.432,-1.748,3.365,304.994,1039.407
21.648,0.433,-1.823,3.122,304.669,1039.211
21.698,0.432,-1.823,2.442,303.996,1038.430
21.748,0.432,-1.677,2.524,304.557,1039.023
21.798,0.442,-1.750,2.504,304.175,1037.549
21.848,0.442,-1.797,1.316,304.849,1038.245
21.899,0.435,-1.715,3.181,304.336,1039.404
21.948,0.433,-1.703,1.953,304.009,1039.454
21.998,0.428,-1.824,2.245,304.767,1039.436
22.048,0.430,-1.757,4.957,304.600,1038.212
22.098,0.434,-1.769,2.255,304.151,1038.710
