Model : ,06,,,,,,,,,,
Serial No : ,0001,,,,,,,,,,
Type : ,,,,,,,,,,,
Test Date : ,2024-08-07,,,,,,,,,,
Sampling Rate : ,100 Hz,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
-0.05,0.07,0.07,0.09,0.09,0.05,0.00,300.80,29.37,0.00,-0.17,-2.96
-0.05,0.04,0.05,0.08,0.09,0.06,0.02,298.12,29.37,0.00,-0.09,-2.82
-0.05,0.01,0.04,0.06,0.09,0.07,0.03,294.48,29.38,0.00,0.00,-2.67
-0.05,0.00,0.02,0.04,0.09,0.08,0.04,289.98,29.38,0.00,0.14,-2.57
-0.05,0.01,0.02,0.02,0.08,0.07,0.04,285.84,29.39,0.00,0.27,-2.52
-0.05,0.02,0.02,0.00,0.07,0.06,0.04,284.26,29.39,0.00,0.33,-2.54
-0.04,0.05,0.02,-0.00,0.06,0.05,0.03,286.54,29.38,0.00,0.28,-2.61
-0.04,0.08,0.03,-0.00,0.05,0.03,0.03,291.91,29.38,0.00,0.14,-2.71
-0.04,0.11,0.05,0.01,0.04,0.01,0.01,298.79,29.37,0.00,-0.02,-2.83
-0.04,0.15,0.07,0.02,0.04,-0.00,-0.00,305.72,29.37,0.00,-0.13,-2.97
-0.04,0.18,0.08,0.04,0.05,-0.01,-0.01,311.28,29.37,0.00,-0.18,-3.10
-0.04,0.20,0.10,0.05,0.06,-0.00,-0.02,314.17,29.38,0.00,-0.12,-3.14
-0.04,0.22,0.10,0.07,0.07,0.01,-0.03,314.01,29.38,0.00,0.04,-3.06
-0.04,0.21,0.10,0.08,0.08,0.02,-0.02,311.61,29.39,0.00,0.25,-2.89
-0.04,0.20,0.09,0.08,0.09,0.04,-0.01,308.26,29.39,0.00,0.43,-2.67
-0.05,0.18,0.08,0.08,0.10,0.05,0.00,305.02,29.39,0.00,0.52,-2.45
-0.05,0.16,0.06,0.07,0.10,0.07,0.02,302.56,29.38,0.00,0.51,-2.27
-0.05,0.15,0.05,0.05,0.10,0.07,0.03,301.07,29.38,0.00,0.37,-2.17
-0.05,0.14,0.04,0.03,0.09,0.07,0.03,300.40,29.37,0.00,0.08,-2.14
-0.05,0.14,0.03,0.01,0.08,0.06,0.04,300.02,29.37,0.00,-0.27,-2.19
-0.05,0.16,0.03,-0.00,0.07,0.05,0.03,298.91,29.37,0.00,-0.53,-2.29
-0.05,0.19,0.04,-0.01,0.06,0.03,0.03,296.41,29.37,0.00,-0.63,-2.44
-0.04,0.23,0.05,-0.00,0.05,0.02,0.01,292.86,29.37,0.00,-0.55,-2.60
-0.03,0.26,0.06,0.01,0.05,0.00,0.00,288.94,29.38,0.00,-0.34,-2.72
-0.03,0.28,0.07,0.02,0.05,-0.01,-0.01,285.26,29.38,0.00,-0.06,-2.76
-0.02,0.29,0.09,0.03,0.05,-0.01,-0.02,282.91,29.37,0.00,0.21,-2.72
-0.02,0.29,0.10,0.04,0.06,-0.01,-0.03,283.78,29.37,0.00,0.40,-2.64
-0.03,0.29,0.10,0.06,0.07,-0.00,-0.03,288.81,29.37,0.00,0.47,-2.53
-0.04,0.27,0.10,0.07,0.09,0.01,-0.03,296.53,29.37,0.00,0.41,-2.43
-0.05,0.25,0.09,0.07,0.10,0.03,-0.02,304.22,29.37,0.00,0.23,-2.35
-0.06,0.22,0.08,0.07,0.11,0.04,-0.01,309.89,29.37,0.00,-0.04,-2.31
-0.07,0.19,0.07,0.07,0.11,0.06,0.01,312.67,29.37,0.00,-0.34,-2.30
-0.07,0.16,0.05,0.06,0.10,0.07,0.02,312.48,29.36,0.00,-0.56,-2.34
-0.07,0.15,0.05,0.04,0.10,0.07,0.02,309.92,29.36,0.00,-0.64,-2.44
-0.07,0.15,0.04,0.02,0.09,0.07,0.03,306.25,29.36,0.00,-0.58,-2.57
-0.07,0.16,0.04,0.01,0.07,0.05,0.02,302.80,29.37,0.00,-0.47,-2.67
-0.06,0.18,0.04,0.00,0.06,0.04,0.02,300.40,29.37,0.00,-0.36,-2.72
-0.05,0.20,0.05,0.00,0.05,0.02,0.01,299.26,29.38,0.00,-0.29,-2.71
-0.04,0.22,0.07,0.01,0.04,0.00,0.01,299.17,29.38,0.00,-0.28,-2.64
-0.04,0.25,0.08,0.02,0.03,-0.01,-0.00,299.70,29.38,0.00,-0.31,-2.55
-0.05,0.27,0.09,0.04,0.03,-0.01,-0.01,300.18,29.38,0.00,-0.37,-2.44
-0.05,0.29,0.10,0.05,0.04,-0.01,-0.02,299.49,29.38,0.00,-0.45,-2.37
-0.06,0.29,0.10,0.07,0.05,0.00,-0.02,297.02,29.37,0.00,-0.52,-2.33
-0.07,0.29,0.10,0.08,0.07,0.01,-0.02,293.53,29.37,0.00,-0.59,-2.35
